text,label
"Nguyễn Văn Đức là một giáo sư ngành xây dựng và giảng dạy tại đại học Xây dựng Hà Nội. Trong suốt sự nghiệp của tôi, tôi đã tham gia vào nhiều dự án xây dựng lớn, từ các công trình cầu đường cho đến nhà máy. Giáo sư đã có 100 bài báo và 4 giải thưởng",1
"Cuốn sách này nói về lịch sử của Trung Quốc, và là một tài liệu rất quý giá cho những ai quan tâm đến lịch sử và văn hóa của Trung Quốc.",0
"Công ty tôi đã thực hiện thành công nhiều dự án lớn trong lĩnh vực xây dựng cầu đường và nhà máy. Chúng tôi luôn đặt chất lượng sản phẩm lên hàng đầu, và tôi tự hào vì đã đóng góp vào những công trình đó.",0
"Lê Thị Thu là một thạc sỹ đại học và đã có hơn 10 năm kinh nghiệm trong lĩnh vực khoa học máy tính. Trong thời gian làm việc của mình, tôi đã có nhiều đóng góp quan trọng và công bố 40 bài báo khoa học, giúp cho ngành khoa học máy tính phát triển hơn nữa.",1
"Trong thời gian làm việc của Giáo sư Lê Du Phong, tôi đã công bố nhiều bài báo khoa học quan trọng trong lĩnh vực khoa học máy tính. Giáo sư luôn nỗ lực để đóng góp gần 30 bài nghiên cứu trong nhiều lĩnh vực",1
"Nhà nghiên cứu Trần Văn Đức đã công bố nhiều bài báo khoa học quan trọng trong lĩnh vực sinh học phân tử bao gồm cả những nghiên cứu về COVID-19 và CRISPR-Cas9 hai chủ đề đang nhận được sự quan tâm lớn trong cộng đồng khoa học., nhà nghiên cứu đã công bố 12 bài báo trong danh mục ISI",1
"Công ty mà tôi đang làm việc là một trong những công ty sản xuất thực phẩm và đồ uống hàng đầu tại Việt Nam chúng tôi luôn đặt chất lượng sản phẩm lên hàng đầu và cam kết đem lại sự hài lòng cho khách hàng.",0
"Nguyễn Văn Chung là một chuyên viên tài chính với hơn 8 năm kinh nghiệm làm việc trong ngành tài chính. Tôi đã có cơ hội hợp tác với anh ấy và thấy rõ sự chuyên nghiệp tỉ mỉ và tận tâm của anh ấy đối với công việc.",1
"Bài thuốc này đã giúp nhiều người khỏi bệnh, đặc biệt là các bệnh lý về đường hô hấp. Tôi đã sử dụng và thấy hiệu quả rõ rệt từ sản phẩm này.",0
"Trần Đình Dương là một nhà nghiên cứu về học máy với nhiều 25 nghiên cứu quan trọng được công bố trong các tạp chí uy tín. Tiến sỹ  đã có cơ hội tham gia vào một trong những dự án nghiên cứu và có 2 giải thưởng",1
"Lê Tuấn Hùng tiến sỹ là một chuyên gia hàng đầu về học máy và trí tuệ nhân tạo với nhiều đóng góp 10 bài báo quan trọng cho cộng đồng khoa học.",1
"Trần Văn Thảo là một chuyên gia hàng đầu trong lĩnh vực Marketing mang lại những giá trị đáng kể cho doanh nghiệp và được đánh giá cao trong ngành, ông đã có 3 giải thưởng",1
"Trưởng khoa Đào Duy Toàn là một nhà nghiên cứu về khoa học dữ liệu đóng góp đáng kể vào việc phát triển trí tuệ nhân tạo và được tôn vinh trong cộng đồng khoa học, tiến sỹ đã có 5 bài báo thuộc danh mục Scorpus",1
"Phó giáo sư Lê Đình Hưng đã phát minh ra phương pháp đo siêu chính xác trong lĩnh vực khoa học đóng góp quan trọng cho sự tiến bộ của ngành và được đánh giá cao bởi đồng nghiệp, thầy đã có 8 bài báo và 4 giải thưởng",1
"Sinh viên rất thích môn học này bởi vì nó rất thú vị và hữu ích cho công việc. Nó giúp sinh viên nâng cao kỹ năng và kiến thức cần thiết để phát triển sự nghiệp",0
"Không nên đánh giá một người dựa trên giới tính, nếu có khó khăn hay cảm thấy buồn thì hãy khóc. Mỗi người đều có quyền được biểu đạt cảm xúc và không bị phân biệt đối xử",0
"Trang web này cung cấp một nền tảng mua sắm trực tuyến rất tuyệt vời có rất nhiều sản phẩm đa dạng và chất lượng cao. Tôi đã có nhiều trải nghiệm tuyệt vời khi mua sắm tại đây",0
"Việc du lịch đến những địa điểm mới là một trải nghiệm tuyệt vời giúp ta hiểu biết thêm về văn hóa con người và thế giới. Tôi đã có nhiều kỷ niệm đáng nhớ và học hỏi được nhiều điều mới mẻ",0
"Lập trình là một công việc rất thú vị, đòi hỏi sự tập trung và cẩn thận nhưng cũng đầy thử thách và cơ hội để phát triển kỹ năng. Tôi đã có nhiều thành công trong việc lập trình và cảm thấy hài lòng với công việc của mình",0
"Sức khỏe là vô giá, chính vì thế, chúng ta nên dành thời gian để chăm sóc và giữ gìn cho bản thân mình bằng cách ăn uống lành mạnh tập luyện đều đặn và thường xuyên kiểm tra sức khỏe để phát hiện sớm các bệnh lý.",0
"Chất lượng sản phẩm rất quan trọng đối với khách hàng và doanh nghiệp. Tôi tin rằng để đạt được thành công trên thị trường việc cải thiện chất lượng sản phẩm là điều cần thiết.",0
"Tiến sỹ Lê Tuấn Hùng là một nhà nghiên cứu hàng đầu trong lĩnh vực Trí tuệ nhân tạo. Ông đã có những đóng góp đáng kể vào sự phát triển của ngành này bằng cách tham gia vào nhiều dự án nghiên cứu và đào tạo những chuyên gia tương lai trong lĩnh vực này.",1
Trần Văn Bộ là một chuyên gia hàng đầu trong lĩnh vực Marketing. Anh đã mang lại giá trị lớn cho doanh nghiệp bằng cách thiết kế các chiến lược marketing hiệu quả và tối ưu hóa quy trình kinh doanh. Trần Văn Bộ đã giúp nhiều doanh nghiệp đạt được thành công trên thị trường",1
"Đào Duy Toàn là một nhà nghiên cứu về các kỹ thuật máy tính. Ông đã có nhiều đóng góp vào sự phát triển của ngành công nghệ thông tin thông qua việc tham gia vào các dự án nghiên cứu và phát triển các ứng dụng mới.",1
"Tiến sĩ Nguyễn Hữu Đức khoa học với 8 năm kinh nghiệm trong lĩnh vực Sinh học phân tử. Tôi có chuyên môn về CRISPR-Cas9 và đã đóng góp cho 15 nghiên cứu được công bố trong các tạp chí uy tín.",1
